Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cyprus,0.04202,0.03622,0.03868,0.04296,0.04405,0.04677,0.04851,0.05427,0.05423,0.06548,0.06967,0.07014,0.08134,0.07297,0.09299,0.09256,0.09056,0.09221,0.09985,0.10526,0.10312,0.1125,0.11064,0.11157,0.11762,0.11983,0.12624,0.12655,0.13271
Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,1.60246,1.54047,1.56479,1.65331,1.46253,1.42235,1.33331,1.39554,1.44098,1.43969,1.50501,1.50207,1.5435,1.58777,1.63353,1.61454
Denmark,0.86306,0.74856,0.73866,0.69914,0.71871,0.814,0.81503,0.83236,0.80544,0.75262,0.76892,0.84468,0.79388,0.84068,0.87661,0.88285,0.97852,0.94141,0.92008,0.89262,0.87367,0.88601,0.85397,0.89504,0.86094,0.84177,0.89688,0.87437,0.83638
Faroe Islands,0.00663,0.00051,0.00051,0.00052,0.00051,0.00051,0.00764,0.00801,0.00848,0.0093,0.00995,0.0092,0.00927,0.00892,0.00934,0.00977,0.00994,0.01003,0.01008,0.01001,0.01022,0.01022,0.01048,0.01047,0.0106,0.01076,0.01158,0.01114,0.0109
Finland,0.97218,0.98988,0.90641,0.90382,0.94532,0.95667,0.98873,1.06452,1.06046,1.0708,1.06221,1.08104,1.13291,1.1435,1.18216,1.12728,1.14022,1.17451,1.22029,1.20869,1.21386,1.22696,1.24833,1.31852,1.34342,1.26036,1.32165,1.33039,1.29176
Former Czechoslovakia,2.74465,2.72524,2.71119,2.73763,2.78649,2.84149,2.92209,2.98359,2.89932,2.92965,2.90579,2.56486,2.38451,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,0.66429,0.53018,0.55562,0.47592,0.74418,0.75556,0.78056,0.62643,0.62744,0.66237,0.73842,0.73911,0.7587,0.71346,--,--,--
Former Yugoslavia,1.66547,1.74257,1.78375,1.82429,2.12645,2.19666,2.20724,2.22166,2.22773,2.23046,2.13426,1.90296,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,8.38909,8.06741,7.79074,7.91212,8.17103,8.35013,8.48696,8.61162,8.59037,8.8754,9.12538,9.73804,9.7936,9.80209,9.78123,10.05206,10.4237,10.36194,10.58991,10.71493,10.85032,11.08966,10.99795,11.11784,11.30309,11.35252,11.37692,11.19392,11.29033
Germany,--,--,--,--,--,--,--,--,--,--,--,14.2997,14.0383,14.07232,14.01249,14.38346,14.39479,14.34024,14.32692,14.10906,14.26147,14.61945,14.32545,14.58721,14.70148,14.3995,14.65476,14.18592,14.35692
"Germany, East",3.59379,3.56468,3.60263,3.5452,3.60512,3.80455,3.8116,3.82739,3.81678,3.71624,3.39701,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",11.27028,10.76921,10.49559,10.49458,10.80876,11.02438,11.40743,11.40608,11.47327,11.1784,11.45953,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0.00738,0.00827,0.00736,0.00581,0.0054,0.01246,0.01868,0.01898,0.02451,0.02104,0.02185,0.02252,0.03988,0.04068,0.04172,0.04181,0.04186,0.04181,0.04825,0.04203,0.09355,0.05126,0.05216,0.0535,0.05489,0.05644,0.05775,0.05952,0.05862
Greece,0.75171,0.74718,0.72815,0.74775,0.76807,0.80955,0.8371,0.89871,0.95805,1.00191,1.03854,1.05579,1.02018,1.07288,1.08676,1.12387,1.14503,1.19901,1.27411,1.26625,1.33768,1.35491,1.35923,1.43684,1.42652,1.43461,1.47776,1.49882,1.46983
Hungary,1.20988,1.20101,1.19572,1.20769,1.18712,1.23224,1.24268,1.27875,1.24853,1.24666,1.18178,1.13251,1.0554,1.02698,1.02834,1.03458,1.07006,1.04601,1.05271,1.05316,1.02466,1.05961,1.06095,1.085,1.08566,1.15757,1.14767,1.11145,1.10639
Iceland,0.05705,0.05767,0.06169,0.06483,0.06892,0.06811,0.07094,0.07345,0.07599,0.07932,0.08123,0.07891,0.08,0.08395,0.08544,0.08721,0.09399,0.09815,0.11028,0.12388,0.13282,0.13664,0.14062,0.14197,0.14447,0.14712,0.1697,0.20335,0.24983
Ireland,0.32304,0.31186,0.30854,0.29988,0.30755,0.31388,0.3391,0.33993,0.334,0.34706,0.36911,0.38463,0.39084,0.40326,0.42248,0.43219,0.45893,0.49145,0.5305,0.56483,0.60026,0.62838,0.62447,0.61718,0.64184,0.66185,0.69985,0.69122,0.68967
Italy,6.14607,6.02974,5.88893,5.77908,6.05167,6.06421,6.14533,6.37045,6.52629,6.71512,6.7643,6.91373,6.88253,6.87273,6.77679,7.08961,7.12058,7.23072,7.43861,7.55594,7.63411,7.67254,7.70383,7.96221,8.08083,8.13858,8.06973,7.94588,7.89699
Luxembourg,0.14196,0.12659,0.12047,0.11458,0.1236,0.12539,0.125,0.12419,0.12887,0.13777,0.14471,0.15656,0.15564,0.1626,0.15668,0.1392,0.14184,0.14121,0.13838,0.14596,0.15383,0.1604,0.17039,0.17942,0.19743,0.20122,0.20124,0.19898,0.19533
Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,0.11972,0.12041,0.11189,0.11526,0.12501,0.12249,0.13989,0.12905,0.11505,0.10637,0.1066,0.11728,0.11939,0.12206,0.12084,0.11946,0.12464
Malta,0.01888,0.02056,0.02211,0.01587,0.02247,0.01833,0.021,0.02361,0.02654,0.02898,0.03049,0.03103,0.03098,0.03471,0.03589,0.03366,0.03497,0.03735,0.03905,0.04454,0.03919,0.0329,0.03939,0.03925,0.03973,0.04122,0.03904,0.04138,0.04234
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.03479,0.0358,0.03589
Netherlands,3.20474,3.00754,2.87238,2.81473,2.88151,3.00982,3.14317,3.23121,3.24029,3.25879,3.31087,3.49513,3.46788,3.53898,3.50781,3.57542,3.73327,3.69939,3.69151,3.68246,3.79417,3.92984,3.93964,4.00102,4.11195,4.22233,4.13898,4.37748,4.32717
Norway,1.34103,1.38834,1.34656,1.47001,1.53129,1.54751,1.54194,1.57291,1.60034,1.67164,1.71084,1.61974,1.71242,1.71051,1.68041,1.78545,1.68726,1.75187,1.80392,1.88517,1.95891,1.8712,1.93517,1.82061,1.89199,1.96814,1.80774,1.93547,1.94311
Poland,5.06796,4.57704,4.58383,4.59384,4.75503,4.91312,5.00005,5.16208,5.0579,4.86104,3.95008,3.87055,3.83451,3.96778,3.81633,3.70083,4.13988,4.08469,3.84843,3.97638,3.62424,3.45452,3.43849,3.57158,3.70203,3.67498,3.85212,3.85974,3.88691
Portugal,0.4315,0.36906,0.48664,0.50029,0.52869,0.53587,0.56928,0.58821,0.65132,0.70028,0.74739,0.74785,0.75644,0.76874,0.80827,0.84061,0.87644,0.91327,0.97411,1.02389,1.07038,1.08604,1.08293,1.1171,1.11196,1.11128,1.08393,1.1093,1.06052
Romania,2.75196,2.7643,2.88751,2.94744,2.87816,2.88838,2.96276,3.03483,2.99266,3.10535,2.81497,2.20882,2.05094,1.86926,1.86797,2.01514,2.05075,2.025,1.73667,1.59261,1.58611,1.71549,1.68369,1.63078,1.68934,1.71126,1.72153,1.70549,1.67689
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.74051,0.7293,0.72854
Slovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,0.77882,0.7458,0.80378,0.78591,0.77561,0.77297,0.76944,0.78496,0.82657,0.83829,0.81482,0.79884,0.82566,0.81973,0.78672,0.8022
Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,0.2321,0.23123,0.24741,0.27805,0.30341,0.29136,0.29125,0.29419,0.29279,0.29891,0.30199,0.30092,0.31411,0.31782,0.31755,0.31422,0.3273
Spain,3.04408,3.09005,3.33173,3.41925,3.25423,3.34068,3.39604,3.49713,3.74649,3.85932,3.92401,4.14791,4.11963,4.02125,4.18158,4.31423,4.4063,4.69594,4.92024,5.16441,5.53161,5.78662,5.86771,6.17845,6.39018,6.50542,6.55537,6.71796,6.50467
Sweden,2.0745,2.04197,1.88243,1.93752,2.03011,2.16753,2.19951,2.26714,2.23013,2.19853,2.21678,2.2125,2.24362,2.2431,2.25818,2.30821,2.27204,2.31614,2.4012,2.36636,2.26833,2.40259,2.26938,2.16687,2.30479,2.32808,2.20883,2.24258,2.21851
Switzerland,1.13892,1.05757,1.03453,1.08637,1.06187,1.15562,1.16531,1.16833,1.18782,1.15243,1.17833,1.21987,1.23144,1.22232,1.24492,1.23882,1.21405,1.23226,1.26074,1.3239,1.29445,1.34652,1.28055,1.30204,1.29171,1.26224,1.28482,1.28341,1.31872
Turkey,1.04087,0.97646,1.12445,1.16247,1.22602,1.33409,1.49857,1.65647,1.70511,1.80389,1.97388,2.06514,2.12799,2.32834,2.23045,2.49064,2.74863,2.92682,2.99525,2.90706,3.1634,2.89407,3.14689,3.31813,3.51284,3.73447,4.07229,4.39771,4.30511
United Kingdom,8.84074,8.51623,8.37158,8.40572,8.45009,8.75141,8.91804,9.06619,9.06493,9.30426,9.2902,9.53644,9.28628,9.58439,9.55707,9.45224,10.06658,9.767,9.75255,9.80298,9.738,9.87406,9.74418,9.85783,9.92463,9.92618,9.80179,9.44116,9.34847
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.19984,0.14554,0.13423,0.13419,0.16968,0.14562,0.15267,0.15564,0.16247,0.1646,0.16393,0.17541,0.18063,0.20158,0.20379,0.22112,0.2158
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0.9918,0.76598,0.76195,0.73143,0.64552,0.63778,0.5443,0.56342,0.52002,0.52053,0.59178,0.60157,0.63523,0.65709,0.69678,0.5908,0.67881
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,1.52941,1.24347,1.07594,1.00994,1.00954,0.99603,0.97723,0.98777,1.05214,0.96268,0.90747,0.98457,0.95119,1.12402,1.15429,1.18792,1.15907
